node_id,photo_name,description,people,demographic,age,device,location,color_palette,style_fit,activity,rights
5063:1217,coding_together_kv,Asian man in cap and headphones at dual monitors smiling in office,man_1,asian,young_adult,"desktop_monitor, headphones, coffee",corporate_office,bright,lifestyle_photo,working,
5063:1219,coding_together_02,"Asian man in cap, headphones on neck, focused at desktop monitor",man_1,asian,young_adult,"desktop_monitor, headphones",corporate_office,bright,testimonial,working,
5087:191,coding_together_04,Asian man with laptop in lounge chair facing camera smiling,man_1,asian,young_adult,laptop,corporate_office,bright,lifestyle_photo,facing_camera,
5063:1231,coding_together_01,Asian man in headphones on video call at desktop monitors,man_1,asian,young_adult,"desktop_monitor, headphones",corporate_office,warm,lifestyle_photo,on_call,
5063:1233,coding_together_07,"Man in cap holding tablet, profile view, on patterned rug",man_1,asian,young_adult,tablet,corporate_office,warm,photo_with_text,browsing,
5063:1192,coding_together_05,Asian man sitting on patterned rug using tablet,man_1,asian,young_adult,tablet,corporate_office,warm,lifestyle_photo,sitting,
5063:1193,coding_together_06,Asian man sitting on rug holding phone with earbuds,man_1,asian,young_adult,phone,corporate_office,warm,lifestyle_photo,on_phone,
5063:1232,coding_together_03,Hands holding phone at desk with keyboard and coffee mug,hands_only,asian,young_adult,"phone, coffee",corporate_office,warm,photo_with_text,on_phone,
5063:1258,coding_together_09,Asian man in chair using phone in warm evening light,man_1,asian,young_adult,phone,corporate_office,warm,lifestyle_photo,on_phone,
5063:1259,coding_together_10,Asian man in chair with laptop in lap smiling in evening light,man_1,asian,young_adult,laptop,corporate_office,warm,lifestyle_photo,working,
5063:1260,coding_together_13,Man in cap viewing phone from above on patterned rug,man_1,asian,young_adult,phone,corporate_office,warm,photo_with_text,browsing,
5063:1272,coding_together_08,"Asian man at desk with monitor, notebook, headphones on neck",man_1,asian,young_adult,"desktop_monitor, notebook, headphones",corporate_office,warm,lifestyle_photo,working,
5063:1271,coding_together_11,"Asian man in headphones looking at monitor, warm evening office",man_1,asian,young_adult,"headphones, desktop_monitor",corporate_office,warm,testimonial,working,
5063:1270,coding_together_12,"Asian man in cap and headphones, hand on chin, smiling at camera",man_1,asian,young_adult,headphones,corporate_office,bright,testimonial,facing_camera,
5063:1269,coding_together_14,"Asian man holding tablet reading, warm daylight office",man_1,asian,young_adult,tablet,corporate_office,bright,lifestyle_photo,reading,
5063:1268,coding_together_15,"Asian man in cap at desktop monitor, headphones around neck, evening",man_1,asian,young_adult,"desktop_monitor, headphones",corporate_office,dark,lifestyle_photo,working,
5063:1195,fashion_week_01,White woman in vest and Asian man with bun at laptop together,"woman_1, man_2",mixed,young_adult,laptop,studio,bright,lifestyle_photo,meeting,
5063:1197,fashion_week_02,"White woman in vest and Asian man holding tablet, looking at it","woman_1, man_2",mixed,young_adult,tablet,studio,bright,lifestyle_photo,meeting,
5063:1199,fashion_week_03,White woman in vest at laptop with mature woman in background,"woman_1, woman_2",white,mixed,"laptop, coffee",studio,bright,lifestyle_photo,working,
5063:1234,fashion_week_kv,Asian man and woman in vest talk; third person types laptop w/ Upwork,"woman_1, man_2, hands_only",mixed,mixed,"laptop, coffee",studio,bright,photo_with_text,meeting,
5063:1238,fashion_week_06,Hands close-up typing on laptop showing Upwork interface,hands_only,white,young_adult,laptop,studio,bright,photo_with_text,typing,
5063:1201,fashion_week_04,"Mature white woman using monitor; woman in vest foreground, back to camera","woman_1, woman_2",white,mixed,desktop_monitor,studio,bright,lifestyle_photo,working,
5063:1237,fashion_week_05,"Mature white woman listening to man across desk, laptop in foreground","woman_2, man_2",mixed,mixed,laptop,studio,bright,lifestyle_photo,listening,
5063:1261,fashion_week_12,"Woman in vest at desktop monitor, man across desk, hands on calculator","woman_1, man_2, hands_only",mixed,young_adult,desktop_monitor,studio,bright,photo_with_text,working,
5063:1265,fashion_week_07,Asian man holding tablet and coffee showing white woman in vest,"woman_1, man_2",mixed,young_adult,"tablet, coffee",studio,bright,lifestyle_photo,meeting,
5063:1264,fashion_week_08,Mature white woman smiling at desk with two people in foreground,"woman_1, woman_2, man_2",mixed,mixed,"laptop, desktop_monitor",studio,bright,lifestyle_photo,facing_camera,
5063:1263,fashion_week_10,"White woman in vest gesturing while talking at desk, sketches behind",woman_1,white,young_adult,"laptop, desktop_monitor",studio,bright,lifestyle_photo,gesturing,
5063:1262,fashion_week_11,"White woman and Asian man with bun at laptop, side angle","woman_1, man_2",mixed,young_adult,laptop,studio,bright,lifestyle_photo,working,
5063:1267,fashion_week_09,"White woman close-up portrait smiling, testimonial",woman_1,white,young_adult,none,studio,bright,testimonial,facing_camera,
5063:1266,fashion_week_13,Asian man with bun close-up gesturing while talking,man_2,asian,young_adult,none,studio,bright,testimonial,gesturing,
5063:1203,finance_traveller_kv,Mature white silver-haired woman with laptop in hotel lobby,woman_3,white,mature,"laptop, coffee",hotel,warm,lifestyle_photo,working,
5063:1205,finance_traveller_01,Mature white woman at laptop close hotel,woman_3,white,mature,laptop,hotel,warm,lifestyle_photo,working,
5063:1230,finance_traveller_03,Mature white woman close portrait eyes down,woman_3,white,mature,none,hotel,warm,testimonial,thinking,
5063:1236,finance_traveller_02,Hands on laptop showing Upwork interface in hotel lobby,hands_only,white,mature,laptop,hotel,warm,photo_with_text,working,
5063:1235,finance_traveller_04,Mature white woman at laptop on hotel counter side view,woman_3,white,mature,"laptop, coffee",hotel,warm,lifestyle_photo,working,
5063:1208,finance_traveller_05,Mature white woman holding coffee at table with laptop and bowl,woman_3,white,mature,"laptop, coffee, notebook",hotel,warm,lifestyle_photo,holding_coffee,
5063:1210,finance_traveller_06,Mature white woman at table with coffee laptop and food bowl looking down,woman_3,white,mature,"laptop, coffee, notebook",hotel,warm,lifestyle_photo,working,
5063:1273,finance_traveler_07,Hands writing in notebook with laptop on hotel counter,hands_only,white,mature,"laptop, notebook",hotel,warm,photo_with_text,writing,
5063:1274,finance_traveler_08,Hands at laptop with mug visible in hotel lobby,hands_only,white,mature,"laptop, coffee, notebook",hotel,warm,photo_with_text,working,
5063:1275,finance_traveler_09,Mature white woman holding phone with notebook on counter,woman_3,white,mature,"phone, notebook, laptop",hotel,warm,lifestyle_photo,on_phone,
5063:1276,finance_traveler_12,Mature white woman on orange couch with tablet,woman_3,white,mature,"tablet, notebook, coffee",hotel,warm,photo_with_text,reading,
5063:1279,finance_traveler_11,Mature white woman on orange couch with laptop in lobby,woman_3,white,mature,laptop,hotel,warm,lifestyle_photo,working,
5063:1278,finance_traveler_13,Mature white woman close portrait waving smiling,woman_3,white,mature,none,hotel,bright,testimonial,waving,
5063:1277,finance_traveler_14,Mature white woman close-up holding coffee mug,woman_3,white,mature,"coffee, laptop",hotel,warm,testimonial,holding_coffee,
5063:1280,finance_traveler_10,Mature white woman at laptop hotel lobby wide,woman_3,white,mature,laptop,hotel,warm,lifestyle_photo,working,
5063:1211,food_warehouse_kv,Asian woman and Latino man with beard in warehouse holding tablet,"woman_4, man_3",mixed,adult,tablet,warehouse,warm,lifestyle_photo,meeting,
5063:1212,food_warehouse_01,Asian woman with man holding tablet warehouse,"woman_4, man_3",mixed,adult,tablet,warehouse,warm,lifestyle_photo,meeting,
5063:1213,food_warehouse_02,Black woman with afro pointing and Latino man with tablet warehouse,"woman_5, man_3",mixed,young_adult,"tablet, notebook",warehouse,bright,lifestyle_photo,gesturing,
5063:1239,food_warehouse_07,Hands close-up at desk with laptop tablet coffee notebook,hands_only,mixed,mixed,"laptop, tablet, coffee, notebook",warehouse,neutral,photo_with_text,working,
5063:1240,food_warehouse_06,Black woman with afro at laptop alone in warehouse,woman_5,black,young_adult,laptop,warehouse,bright,lifestyle_photo,working,
5063:1214,food_warehouse_03,Asian woman and Black woman with tablet plus back-to-camera person,"woman_4, woman_5",mixed,young_adult,tablet,warehouse,bright,lifestyle_photo,meeting,
5063:1215,food_warehouse_04,Asian woman and Black woman with laptop and notebook,"woman_4, woman_5",mixed,young_adult,"laptop, notebook",warehouse,bright,lifestyle_photo,meeting,
5063:1216,food_warehouse_05,Latino man and Black woman reviewing a device together,"man_3, woman_5",mixed,young_adult,"tablet, notebook",warehouse,bright,lifestyle_photo,meeting,
5063:1241,food_warehouse_03b,Asian woman and Black woman with tablet showing screen,"woman_4, woman_5",mixed,young_adult,tablet,warehouse,bright,lifestyle_photo,meeting,
5063:1303,food_warehouse_11,Black woman with afro at laptop with back-to-camera person,woman_5,black,young_adult,"laptop, coffee",warehouse,bright,lifestyle_photo,working,
5063:1308,food_warehouse_08,Asian woman and Latino man with beard with tablet warehouse,"woman_4, man_3",mixed,adult,tablet,warehouse,bright,lifestyle_photo,meeting,
5063:1307,food_warehouse_09,Asian woman and Latino man side by side warehouse close,"woman_4, man_3",mixed,adult,tablet,warehouse,warm,lifestyle_photo,standing,
5063:1306,food_warehouse_10,Black woman Asian woman and Latino man working together,"woman_5, woman_4, man_3",mixed,young_adult,"tablet, phone",warehouse,bright,lifestyle_photo,meeting,
5063:1305,food_warehouse_12,Asian woman close-up with back-to-camera man warehouse,woman_4,asian,adult,laptop,warehouse,bright,testimonial,listening,
5063:1304,food_warehouse_14,Latino man and Black woman at laptop close,"man_3, woman_5",mixed,young_adult,laptop,warehouse,bright,lifestyle_photo,meeting,
5063:1309,food_warehouse_13,Asian woman Latino man and Black woman with laptop tablet and packaging,"woman_4, man_3, woman_5",mixed,adult,"laptop, tablet, coffee",warehouse,bright,lifestyle_photo,meeting,
5063:1218,latenight_ai_02,White man with curly red hair headphones close at desk evening,man_4,white,young_adult,headphones,home_office,dark,lifestyle_photo,working,
5063:1220,latenight_ai_03,White man with curly red hair on couch with laptop night,man_4,white,young_adult,laptop,home_office,dark,lifestyle_photo,working,
5063:1191,latenight_ai_04,White man with curly red hair on couch with laptop warm lamp,man_4,white,young_adult,laptop,home_office,warm,lifestyle_photo,working,
5063:1242,latenight_ai_kv,Back view man at desk with laptop and monitor headphones,hands_only,white,young_adult,"laptop, desktop_monitor",home_office,dark,lifestyle_photo,working,
5063:1243,latenight_ai_05,Hands holding phone showing Upwork app at desk with keyboard,hands_only,white,young_adult,"phone, desktop_monitor, headphones",home_office,warm,photo_with_text,on_phone,
5063:1244,latenight_ai_06,Over-shoulder man using laptop showing Upwork headphones around neck,hands_only,white,young_adult,"laptop, headphones, desktop_monitor",home_office,dark,lifestyle_photo,working,
5063:1281,latenight_ai_07,White man profile with headphones at monitor showing Upwork,man_4,white,young_adult,"desktop_monitor, headphones",home_office,dark,lifestyle_photo,working,
5063:1282,latenight_ai_08,White man on chair with laptop headphones monitor behind,man_4,white,young_adult,"laptop, desktop_monitor, headphones",home_office,warm,lifestyle_photo,working,
5063:1286,latenight_ai_14,Back view man holding phone with laptop showing Upwork headphones,hands_only,white,young_adult,"laptop, phone, headphones",home_office,dark,photo_with_text,working,
5063:1283,latenight_ai_09,Back view man at monitor showing code with laptop video call headphones,hands_only,white,young_adult,"laptop, desktop_monitor, headphones",home_office,dark,lifestyle_photo,working,
5063:1284,latenight_ai_11,White man with headphones close profile at monitor,man_4,white,young_adult,"desktop_monitor, headphones",home_office,dark,lifestyle_photo,working,
5063:1285,latenight_ai_12,Back view person at desk with laptop and monitor brick wall,hands_only,white,young_adult,"laptop, desktop_monitor",home_office,dark,photo_with_text,working,
5063:1287,latenight_ai_13,White man close profile with headphones around neck pink sweater,man_4,white,young_adult,"desktop_monitor, headphones",home_office,warm,testimonial,thinking,
5063:1288,latenight_ai_10,White man typing at desk with monitor and headphones,man_4,white,young_adult,"desktop_monitor, headphones",home_office,warm,lifestyle_photo,typing,
5063:1194,music_company_kv,White woman in rainbow knit with Black woman with afro at music studio,"woman_6, woman_7",mixed,young_adult,"tablet, headphones, coffee",studio,warm,lifestyle_photo,meeting,
5063:1196,music_company_02,Same two women at laptop together music studio,"woman_6, woman_7",mixed,young_adult,"laptop, tablet, headphones",studio,warm,lifestyle_photo,facing_camera,
5063:1198,music_company_03,Same two women looking at laptop close,"woman_6, woman_7",mixed,young_adult,"laptop, headphones",studio,warm,lifestyle_photo,meeting,
5063:1246,music_company_01,White woman seated and Black woman standing with laptop and vinyl,"woman_6, woman_7",mixed,young_adult,"laptop, headphones",studio,warm,lifestyle_photo,meeting,
5063:1245,music_company_07,White woman back at desktop with phone and headphones around neck,hands_only,white,mixed,"phone, desktop_monitor, headphones",studio,warm,photo_with_text,on_phone,
5063:1200,music_company_04,White woman and Black woman close-up at desk together,"woman_6, woman_7",mixed,young_adult,coffee,studio,warm,testimonial,facing_camera,
5063:1202,music_company_05,White woman with headphones at desktop with vinyl records,woman_6,white,young_adult,"desktop_monitor, headphones",studio,warm,lifestyle_photo,working,
5063:1204,music_company_06,Black woman with afro alone at desktop in music studio,woman_7,black,young_adult,desktop_monitor,studio,warm,lifestyle_photo,working,
5063:1289,music_company_12,White woman back at desktop showing Upwork on screen,hands_only,white,mixed,desktop_monitor,studio,warm,photo_with_text,typing,
5063:1290,music_company_08,Black woman seated and white woman standing at desktop,"woman_7, woman_6",mixed,young_adult,"desktop_monitor, headphones",studio,warm,lifestyle_photo,meeting,
5063:1294,music_company_09,White woman and Black woman at laptop side by side,"woman_6, woman_7",mixed,young_adult,laptop,studio,warm,lifestyle_photo,meeting,
5063:1293,music_company_10,White woman seated and Black woman behind with coffee at desktop,"woman_6, woman_7",mixed,young_adult,"desktop_monitor, coffee, headphones",studio,warm,lifestyle_photo,meeting,
5063:1292,music_company_11,Both women at laptops with headphones one listening,"woman_6, woman_7",mixed,young_adult,"laptop, headphones",studio,warm,lifestyle_photo,listening,
5063:1291,music_company_13,White woman pointing at tablet with Black woman in studio,"woman_6, woman_7",mixed,young_adult,"tablet, laptop, headphones",studio,warm,lifestyle_photo,meeting,
5063:1206,plant_supply_kv,White man with red hair Asian woman and back-to-camera person greenhouse,"man_4, woman_8, hands_only",mixed,adult,"tablet, notebook",greenhouse,green,lifestyle_photo,meeting,
5063:1207,plant_supply_01,White man with red hair Asian woman and back-to-camera at greenhouse table,"man_4, woman_8, man_5",mixed,adult,"tablet, notebook",greenhouse,green,lifestyle_photo,meeting,
5063:1209,plant_supply_03,Asian woman gesturing and white man with red hair at laptop greenhouse,"woman_8, man_4",mixed,adult,laptop,greenhouse,green,lifestyle_photo,meeting,
